"beserver","timestamp","durationmin","durationmax","durationavg"
"VI1PR0402MB3646","06.03.2018 13:56:51","303,6944","318,1209","308,82187"
"VI1PR0402MB3646","06.03.2018 13:57:01","304,7905","309,3463","306,63893"
"VI1PR0402MB3646","06.03.2018 13:57:11","302,9325","311,3629","306,46136"
"VI1PR0402MB3646","06.03.2018 13:57:21","303,2609","788,8112","368,68619"
"VI1PR0402MB3646","06.03.2018 13:57:31","303,7911","308,0922","305,8007"
"VI1PR0402MB3646","06.03.2018 13:57:41","303,9123","314,6783","306,59805"
"VI1PR0402MB3646","06.03.2018 13:57:51","305,6108","333,5055","310,51724"
"VI1PR0402MB3646","06.03.2018 13:58:01","304,9097","316,0801","307,88181"
"VI1PR0402MB3646","06.03.2018 13:58:11","304,1072","317,8481","308,30429"
"VI1PR0402MB3646","06.03.2018 13:58:21","305,0724","908,8181","387,27805"
"VI1PR0402MB3646","06.03.2018 13:58:31","303,8002","309,3763","306,59908"
"VI1PR0402MB3646","06.03.2018 13:58:41","303,9454","312,6048","306,8932"
"VI1PR0402MB3646","06.03.2018 13:58:51","304,9761","327,7434","311,00302"
"VI1PR0402MB3646","06.03.2018 13:59:01","304,7128","663,7207","342,61181"
"VI1PR0402MB3646","06.03.2018 13:59:11","303,8633","308,4865","306,29367"
"VI1PR0402MB3646","06.03.2018 13:59:21","304,8095","308,6321","306,33013"
"VI1PR0402MB3646","06.03.2018 13:59:31","304,828","317,5497","307,94905"
"VI1PR0402MB3646","06.03.2018 13:59:41","305,267","324,9285","310,29215"
"VI1PR0402MB3646","06.03.2018 13:59:51","304,4424","339,6322","309,10456"
"VI1PR0402MB3646","06.03.2018 14:00:01","303,8053","315,7354","309,37261"
"VI1PR0402MB3646","06.03.2018 14:00:11","304,7006","390,3459","322,81553"
"VI1PR0402MB3646","06.03.2018 14:00:21","306,4516","312,8641","309,42781"
"VI1PR0402MB3646","06.03.2018 14:00:31","305,6981","308,9089","306,89108"
"VI1PR0402MB3646","06.03.2018 14:00:41","305,8109","313,761","308,20398"
"VI1PR0402MB3646","06.03.2018 14:00:51","305,0053","343,1291","311,04849"
"VI1PR0402MB3646","06.03.2018 14:01:01","304,4562","411,8591","329,09956"
"VI1PR0402MB3646","06.03.2018 14:01:11","304,9563","317,5588","309,20433"
"VI1PR0402MB3646","06.03.2018 14:01:21","304,3184","311,3112","307,87788"
"VI1PR0402MB3646","06.03.2018 14:01:31","305,7522","354,5083","313,9742"
"VI1PR0402MB3646","06.03.2018 14:01:41","305,2422","311,8323","307,83647"
"VI1PR0402MB3646","06.03.2018 14:01:51","305,6834","316,4962","309,36373"
"VI1PR0402MB3646","06.03.2018 14:02:02","304,7392","1247,1302","403,37547"
"VI1PR0402MB3646","06.03.2018 14:02:12","303,9289","318,1998","308,92378"
"VI1PR0402MB3646","06.03.2018 14:02:22","306,2037","702,1557","375,33487"
"VI1PR0402MB3646","06.03.2018 14:02:33","305,9945","1133,4722","425,03555"
"VI1PR0402MB3646","06.03.2018 14:02:44","304,7727","1252,8698","428,19917"
"VI1PR0402MB3646","06.03.2018 14:02:54","305,046","372,2775","314,63383"
"VI1PR0402MB3646","06.03.2018 14:03:04","421,1355","638,4262","495,30753"
