"beserver","timestamp","durationmin","durationmax","durationavg"
"VI1PR0402MB3646","08.05.2018 00:43:37","177,1162","192,1285","183,8986"
"VI1PR0402MB3646","08.05.2018 00:43:47","178,7449","187,5961","183,6596"
"VI1PR0402MB3646","08.05.2018 00:43:57","178,3426","247,1626","188,8579"
"VI1PR0402MB3646","08.05.2018 00:44:07","178,1172","190,1264","183,77502"
"VI1PR0402MB3646","08.05.2018 00:44:12","249,1648","277,2555","254,91572"
"VI1PR0402MB3646","08.05.2018 00:44:17","179,1191","191,2937","184,10494"
"VI1PR0402MB3646","08.05.2018 00:44:22","246,6111","258,1719","253,00743"
"VI1PR0402MB3646","08.05.2018 00:44:27","179,1372","189,1383","184,36271"
"VI1PR0402MB3646","08.05.2018 00:44:32","247,1626","259,3471","252,89082"
"VI1PR0402MB3646","08.05.2018 00:44:37","177,9183","198,1313","183,91466"
"VI1PR0402MB3646","08.05.2018 00:44:42","247,5778","390,803","266,13475"
"VI1PR0402MB3646","08.05.2018 00:44:47","178,1279","186,6397","181,37025"
"VI1PR0402MB3646","08.05.2018 00:44:52","248,3003","254,2324","250,7369"
"VI1PR0402MB3646","08.05.2018 00:44:57","175,8136","212,8867","184,05456"
"VI1PR0402MB3646","08.05.2018 00:45:02","246,0148","256,1516","249,93924"
"VI1PR0402MB3646","08.05.2018 00:45:07","174,8753","188,1243","180,96696"
"VI1PR0402MB3646","08.05.2018 00:45:12","247,1827","306,7161","255,97784"
"VI1PR0402MB3646","08.05.2018 00:45:17","176,7005","184,1204","180,92104"
"VI1PR0402MB3646","08.05.2018 00:45:22","247,1768","261,2007","251,41708"
"VI1PR0402MB3646","08.05.2018 00:45:27","176,1956","194,754","183,6279"
"VI1PR0402MB3646","08.05.2018 00:45:32","247,0213","266,4753","252,83024"
"VI1PR0402MB3646","08.05.2018 00:45:37","177,1273","193,128","181,00901"
"VI1PR0402MB3646","08.05.2018 00:45:42","245,183","285,2545","251,22297"
"VI1PR0402MB3646","08.05.2018 00:45:47","176,0997","193,3191","181,69504"
"VI1PR0402MB3646","08.05.2018 00:45:52","246,3885","260,8703","251,87163"
"VI1PR0402MB3646","08.05.2018 00:45:57","175,6497","186,134","179,52495"
"VI1PR0402MB3646","08.05.2018 00:46:02","246,1643","260,2013","253,3208"
"VI1PR0402MB3646","08.05.2018 00:46:07","176,1298","185,1369","179,94222"
"VI1PR0402MB3646","08.05.2018 00:46:12","247,1741","284,1994","256,24167"
"VI1PR0402MB3646","08.05.2018 00:46:17","176,4432","226,0852","185,50374"
"VI1PR0402MB3646","08.05.2018 00:46:22","245,8091","261,6977","249,17905"
"VI1PR0402MB3646","08.05.2018 00:46:27","175,6738","187,7488","180,28266"
"VI1PR0402MB3646","08.05.2018 00:46:32","247,2021","260,8944","254,45813"
"VI1PR0402MB3646","08.05.2018 00:46:37","173,1317","184,12","179,10568"
"VI1PR0402MB3646","08.05.2018 00:46:42","245,6701","261,753","248,8199"
"VI1PR0402MB3646","08.05.2018 00:46:47","176,6307","205,9396","181,69413"
"VI1PR0402MB3646","08.05.2018 00:46:52","245,6843","253,1689","248,37484"
"VI1PR0402MB3646","08.05.2018 00:46:57","174,4083","236,177","183,14066"
"VI1PR0402MB3646","08.05.2018 00:47:02","246,188","276,723","253,50505"
"VI1PR0402MB3646","08.05.2018 00:47:07","175,1271","189,1352","179,1181"
"VI1PR0402MB3646","08.05.2018 00:47:12","243,6897","259,9458","248,9188"
"VI1PR0402MB3646","08.05.2018 00:47:17","174,2595","188,1349","180,79942"
"VI1PR0402MB3646","08.05.2018 00:47:22","243,6735","265,1911","249,69823"
"VI1PR0402MB3646","08.05.2018 00:47:27","175,1318","182,1333","177,98317"
"VI1PR0402MB3646","08.05.2018 00:47:32","244,9071","259,1875","249,98329"
"VI1PR0402MB3646","08.05.2018 00:47:37","176,1301","191,6722","181,5066"
"VI1PR0402MB3646","08.05.2018 00:47:42","245,1798","249,7947","247,49493"
"VI1PR0402MB3646","08.05.2018 00:47:47","175,1338","185,7736","180,63039"
"VI1PR0402MB3646","08.05.2018 00:47:52","243,175","610,1886","286,8545"
"VI1PR0402MB3646","08.05.2018 00:47:57","174,1232","191,1266","179,1521"
"VI1PR0402MB3646","08.05.2018 00:48:02","243,67","254,688","247,51544"
"VI1PR0402MB3646","08.05.2018 00:48:07","174,1292","182,1333","177,17675"
"VI1PR0402MB3646","08.05.2018 00:48:12","242,17","251,6078","246,76656"
"VI1PR0402MB3646","08.05.2018 00:48:17","175,1255","458,7474","207,20592"
"VI1PR0402MB3646","08.05.2018 00:48:22","244,1788","259,2002","249,5697"
"VI1PR0402MB3646","08.05.2018 00:48:27","173,6283","184,1405","177,52841"
"VI1PR0402MB3646","08.05.2018 00:48:32","244,1736","261,689","250,34859"
"VI1PR0402MB3646","08.05.2018 00:48:37","175,1164","185,6236","177,16959"
"VI1PR0402MB3646","08.05.2018 00:48:42","242,727","270,1909","250,41369"
"VI1PR0402MB3646","08.05.2018 00:48:47","174,6164","193,137","178,88989"
"VI1PR0402MB3646","08.05.2018 00:48:52","243,2184","335,0532","257,863"
"VI1PR0402MB3646","08.05.2018 00:48:57","173,622","264,8611","187,16569"
"VI1PR0402MB3646","08.05.2018 00:49:02","242,6658","268,7335","250,70194"
"VI1PR0402MB3646","08.05.2018 00:49:07","174,1261","189,6385","178,32784"
"VI1PR0402MB3646","08.05.2018 00:49:12","243,1757","262,6928","251,33915"
"VI1PR0402MB3646","08.05.2018 00:49:17","173,6271","176,5019","174,47179"
"VI1PR0402MB3646","08.05.2018 00:49:22","244,1815","272,2021","252,51239"
"VI1PR0402MB3646","08.05.2018 00:49:27","174,1284","188,1425","176,91805"
"VI1PR0402MB3646","08.05.2018 00:49:32","243,694","262,1912","249,67836"
"VI1PR0402MB3646","08.05.2018 00:49:37","173,1297","191,1124","178,53538"
"VI1PR0402MB3646","08.05.2018 00:49:42","243,1845","256,2045","246,8342"
"VI1PR0402MB3646","08.05.2018 00:49:47","172,829","179,125","175,37486"
"VI1PR0402MB3646","08.05.2018 00:49:52","242,9109","260,3173","250,25794"
"VI1PR0402MB3646","08.05.2018 00:49:57","173,1724","189,2797","177,6592"
"VI1PR0402MB3646","08.05.2018 00:50:02","244,6785","256,6095","250,3276"
"VI1PR0402MB3646","08.05.2018 00:50:07","173,1246","184,6589","177,83087"
"VI1PR0402MB3646","08.05.2018 00:50:12","243,1785","269,1906","250,14049"
"VI1PR0402MB3646","08.05.2018 00:50:17","173,2233","179,1274","174,98753"
