"timestamp","durationavgms","durationmaxms","durationminms","totalchecks","beserver"
"2019-01-15 14:50:17","259","494","194","60","AM6PR04MB5013"
"2019-01-15 14:51:17","244","343","194","60","AM6PR04MB5013"
"2019-01-15 14:52:17","239","377","190","60","AM6PR04MB5013"
"2019-01-15 14:53:19","263","2075","109","60","AM6PR04MB5013"
"2019-01-15 14:54:19","215","276","191","60","AM6PR04MB5013"
"2019-01-15 14:55:19","234","420","190","60","AM6PR04MB5013"
"2019-01-15 14:56:19","213","388","186","60","AM6PR04MB5013"
"2019-01-15 14:57:23","344","4854","191","60","AM6PR04MB5013"
"2019-01-15 14:58:24","361","1183","196","60","AM6PR04MB5013"
"2019-01-15 14:59:24","263","523","196","60","AM6PR04MB5013"
"2019-01-15 15:00:25","328","1008","207","60","AM6PR04MB5013"
"2019-01-15 15:01:25","287","587","186","60","AM6PR04MB5013"
"2019-01-15 15:02:25","216","281","187","60","AM6PR04MB5013"
"2019-01-15 15:03:25","249","578","195","60","AM6PR04MB5013"
"2019-01-15 15:04:27","354","1312","189","60","AM6PR04MB5013"
"2019-01-15 15:05:28","264","1129","190","60","AM6PR04MB5013"
"2019-01-15 15:06:28","223","399","184","60","AM6PR04MB5013"
"2019-01-15 15:07:28","228","594","190","60","AM6PR04MB5013"
"2019-01-15 15:08:28","262","790","184","60","AM6PR04MB5013"
"2019-01-15 15:09:28","209","300","185","60","AM6PR04MB5013"
"2019-01-15 15:10:35","329","4071","188","60","AM6PR04MB5013"
"2019-01-15 15:11:35","248","490","185","60","AM6PR04MB5013"
"2019-01-15 15:12:36","217","1169","183","60","AM6PR04MB5013"
"2019-01-15 15:13:36","206","456","185","60","AM6PR04MB5013"
"2019-01-15 15:14:36","204","317","185","60","AM6PR04MB5013"
"2019-01-15 15:15:36","202","289","185","60","AM6PR04MB5013"
"2019-01-15 15:16:37","248","1013","185","60","AM6PR04MB5013"
"2019-01-15 15:17:37","238","733","188","60","AM6PR04MB5013"
"2019-01-15 15:18:37","227","576","185","60","AM6PR04MB5013"
"2019-01-15 15:19:38","310","1090","186","60","AM6PR04MB5013"
"2019-01-15 15:20:38","243","639","184","60","AM6PR04MB5013"
"2019-01-15 15:21:38","217","286","189","60","AM6PR04MB5013"
