"AverageJitterInMsAvg","RoundTripLatencyMaxInMs","Packetssentcount","PacketLossRateMax","RoundTripLatencyAvgInMs","PacketLossRateAvg","PacketReorderRatioAvg","PacketReorderRatioMax","Packetssentsum","AverageJitterInMsMax"
"6","28","1","0","28","0","0","0","851","6"
"3","30","1","0","30","0","0","0","851","3"
"4","25","1","0","25","0","0","0","851","4"
"9","28","1","0","28","0","0","0","851","9"
"6","30","1","0","30","0","0","0","283","6"
"0","0","0","0","0","0","0","0","0","0"
"13","26","1","0","26","0","0","0","283","13"
"7","23","1","0","23","0","0","0","850","7"
"10","30","1","0","30","0","0","0","283","10"
"4","24","1","0","24","0","0","0","851","4"
"0","0","0","0","0","0","0","0","0","0"
"9","30","1","0","30","0","0","0","283","9"
"3","28","1","0","28","0","0","0","283","3"
"0","0","0","0","0","0","0","0","0","0"
"10","30","1","0","30","0","0","0","850","10"
"6","30","1","0","30","0","0","0","283","6"
"8","23","1","0","23","0","0","0","851","8"
"5","30","1","0","30","0","0","0","283","5"
"7","25","1","0","25","0","0","0","283","7"
"5","22","1","0","22","0","0","0","851","5"
"7","24","1","0","24","0","0","0","283","7"
"4","27","1","0","27","0","0","0","851","4"
"13","25","1","0","25","0","0","0","283","13"
"0","0","0","0","0","0","0","0","0","0"
"14","28","1","0","28","0","0","0","283","14"
"8","23","1","0","23","0","0","0","851","8"
"4","32","1","0","32","0","0","0","283","4"
"2","30","1","0","30","0","0","0","283","2"
"8","28","1","0","28","0","0","0","851","8"
"2","30","1","0","30","0","0","0","851","2"
"9","22","1","0","22","0","0","0","851","9"
"10","24","1","0","24","0","0","0","851","10"
"3","30","1","0","30","0","0","0","851","3"
"0","0","0","0","0","0","0","0","0","0"
"4","30","1","0","30","0","0","0","283","4"
"10","44","1","0","44","0","0","0","851","10"
"3","22","1","0","22","0","0","0","851","3"
"8","24","1","0","24","0","0","0","851","8"
"16","25","1","0","25","0","0","0","283","16"
"4","30","1","0","30","0","0","0","283","4"
"6","30","1","0","30","0","0","0","851","6"
"5","30","1","0","30","0","0","0","283","5"
"7","28","1","0","28","0","0","0","851","7"
"9","28","1","0","28","0","0","0","850","9"
"8","30","1","0","30","0","0","0","283","8"
"7","26","1","0","26","0","0","0","283","7"
"8","23","1","0","23","0","0","0","283","8"
"9","28","1","0","28","0","0","0","851","9"
"4","24","1","0","24","0","0","0","851","4"
"0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0"
"6","30","1","0","30","0","0","0","283","6"
"3","28","1","0","28","0","0","0","851","3"
"8","24","1","0","24","0","0","0","283","8"
"0","0","0","0","0","0","0","0","0","0"
"6","30","1","0","30","0","0","0","283","6"
"7","28","1","0","28","0","0","0","283","7"
"8","23","1","0","23","0","0","0","850","8"
"3","30","1","0","30","0","0","0","283","3"
"5","26","1","0","26","0","0","0","283","5"
"5","30","1","0","30","0","0","0","283","5"
"8","23","1","0","23","0","0","0","851","8"
"6","30","1","0","30","0","0","0","851","6"
"6","25","1","0","25","0","0","0","283","6"
"8","24","1","0","24","0","0","0","283","8"
"3","28","1","0","28","0","0","0","851","3"
"5","28","1","0","28","0","0","0","851","5"
"5","28","1","0","28","0","0","0","283","5"
"7","28","1","0","28","0","0","0","851","7"
"2","26","1","0","26","0","0","0","283","2"
"8","28","1","0","28","0","0","0","851","8"
"6","28","1","0","28","0","0","0","283","6"
"16","30","1","0","30","0","0","0","283","16"
"0","0","0","0","0","0","0","0","0","0"
"10","30","1","0","30","0","0","0","851","10"
"9","23","1","0","23","0","0","0","851","9"
"18","25","1","0","25","0","0","0","283","18"
"0","0","0","0","0","0","0","0","0","0"
"4","28","1","0","28","0","0","0","851","4"
"0","0","0","0","0","0","0","0","0","0"
"9","29","1","0","29","0","0","0","851","9"
"4","26","1","0","26","0","0","0","283","4"
"4","30","1","0","30","0","0","0","851","4"
"10","30","1","0","30","0","0","0","283","10"
"0","0","0","0","0","0","0","0","0","0"
"5","24","1","0","24","0","0","0","851","5"
"6","31","1","0","31","0","0","0","851","6"
"29","36","1","0","36","0","0","0","283","29"
"9","30","1","0","30","0","0","0","851","9"
"17","28","1","0","28","0","0","0","283","17"
"14","32","1","0","32","0","0","0","283","14"
"15","27","1","0","27","0","0","0","283","15"
"6","29","1","0","29","0","0","0","283","6"
"4","24","1","0","24","0","0","0","283","4"
"13","25","1","0","25","0","0","0","283","13"
"5","24","1","0","24","0","0","0","283","5"
"0","0","0","0","0","0","0","0","0","0"
"10","24","1","0","24","0","0","0","851","10"
"5","26","1","0","26","0","0","0","851","5"
"9","33","1","0","33","0","0","0","283","9"
"10","30","1","0","30","0","0","0","851","10"
"9","30","1","0","30","0","0","0","283","9"
"8","30","1","0","30","0","0","0","851","8"
"5","31","1","0","31","0","0","0","283","5"
"6","24","1","0","24","0","0","0","851","6"
"6","28","1","0","28","0","0","0","851","6"
"6","24","1","0","24","0","0","0","283","6"
"6","24","1","0","24","0","0","0","283","6"
"6","30","1","0","30","0","0","0","283","6"
"6","26","1","0","26","0","0","0","851","6"
"7","25","1","0","25","0","0","0","851","7"
"8","29","1","0","29","0","0","0","851","8"
"8","29","1","0","29","0","0","0","283","8"
"10","25","1","0","25","0","0","0","283","10"
"6","29","1","0","29","0","0","0","851","6"
"18","31","1","0","31","0","0","0","283","18"
"7","29","1","0","29","0","0","0","851","7"
"0","0","0","0","0","0","0","0","0","0"
"10","27","1","0","27","0","0","0","851","10"
"9","29","1","0","29","0","0","0","851","9"
"9","30","1","0","30","0","0","0","283","9"
"10","28","1","0","28","0","0","0","851","10"
"0","0","0","0","0","0","0","0","0","0"
"5","28","1","0","28","0","0","0","851","5"
"9","30","1","0","30","0","0","0","283","9"
"10","29","1","0","29","0","0","0","851","10"
"11","28","1","0","28","0","0","0","283","11"
"5","32","1","0","32","0","0","0","851","5"
"8","25","1","0","25","0","0","0","851","8"
"5","28","1","0","28","0","0","0","851","5"
"6","31","1","0","31","0","0","0","283","6"
"9","24","1","0","24","0","0","0","851","9"
"7","24","1","0","24","0","0","0","851","7"
"8","25","1","0","25","0","0","0","283","8"
"7","28","1","0","28","0","0","0","851","7"
"25","32","1","0","32","0","0","0","283","25"
"8","28","1","0","28","0","0","0","851","8"
"5","28","1","0","28","0","0","0","283","5"
"4","30","1","0","30","0","0","0","851","4"
"10","25","1","0","25","0","0","0","850","10"
"6","28","1","0","28","0","0","0","851","6"
"13","32","1","0","32","0","0","0","851","13"
"16","32","1","0","32","0","0","0","283","16"
"31","29","1","0","29","0","0","0","283","31"
"7","28","1","0","28","0","0","0","283","7"
"0","0","0","0","0","0","0","0","0","0"
"5","30","1","0","30","0","0","0","283","5"
"5","30","1","0","30","0","0","0","851","5"
"5","24","1","0","24","0","0","0","851","5"
"0","0","0","0","0","0","0","0","0","0"
