"CallStartTime","PacketLossRate","RoundTripLatencyInMs","PacketsSent","PacketsReceived","AverageJitterInMs","PacketReorderRatio"
"07.05.2018 13:38:47","0","25","283","283","17,58962","0"
"07.05.2018 13:39:21","0","28,5","851","851","4,392527","0"
"07.05.2018 13:39:56","0","29","851","851","9,266302","0"
"07.05.2018 13:40:22","0","25,5","283","283","3,928944","0"
"07.05.2018 13:40:48","0","29,5","851","851","3,917585","0"
"07.05.2018 13:41:14","0","30","283","283","10,18582","0"
"07.05.2018 13:41:48","0","24","851","851","5,056432","0"
"07.05.2018 13:42:14","0","31","851","851","5,854476","0"
"07.05.2018 13:42:39","0","36","283","283","29,37111","0"
"07.05.2018 13:43:06","0","29,5","851","851","8,618488","0"
"07.05.2018 13:43:32","0","28","283","283","16,68509","0"
"07.05.2018 13:43:58","0","32","283","283","14,15031","0"
"07.05.2018 13:44:24","0","27","283","283","14,50432","0"
"07.05.2018 13:44:50","0","29","283","283","6,37862","0"
"07.05.2018 13:45:16","0","24","283","283","4,255506","0"
"07.05.2018 13:45:42","0","25","283","283","12,54965","0"
"07.05.2018 13:46:08","0","23,5","283","283","4,989918","0"
"07.05.2018 13:46:42","0","24","851","851","10,29977","0"
"07.05.2018 13:47:09","0","25,5","851","851","5,22909","0"
"07.05.2018 13:47:35","0","33","283","283","9,34435","0"
"07.05.2018 13:48:01","0","29,5","851","851","9,542362","0"
"07.05.2018 13:48:27","0","30","283","283","8,900203","0"
"07.05.2018 13:48:53","0","30","851","851","8,473961","0"
"07.05.2018 13:49:19","0","31","283","283","4,848513","0"
"07.05.2018 13:49:45","0","23,5","851","851","6,190689","0"
"07.05.2018 13:50:11","0","28","851","851","5,997971","0"
"07.05.2018 13:50:37","0","23,5","283","283","6,494839","0"
"07.05.2018 13:51:03","0","23,5","283","283","6,273962","0"
"07.05.2018 13:51:29","0","29,5","283","283","5,887608","0"
"07.05.2018 13:51:56","0","25,5","851","851","6,312911","0"
"07.05.2018 13:52:22","0","25","851","851","7,080783","0"
"07.05.2018 13:52:48","0","29","851","851","8,114716","0"
"07.05.2018 13:53:14","0","29","283","283","7,51174","0"
"07.05.2018 13:53:40","0","25","283","283","10,11987","0"
"07.05.2018 13:54:06","0","29","851","851","5,822042","0"
"07.05.2018 13:54:32","0","31","283","283","18,12759","0"
"07.05.2018 13:54:58","0","29","851","851","6,556254","0"
"07.05.2018 13:55:33","0","27","851","851","10,33526","0"
"07.05.2018 13:55:59","0","29","851","851","9,161804","0"
"07.05.2018 13:56:25","0","30","283","283","8,752797","0"
"07.05.2018 13:56:51","0","28","851","851","9,639365","0"
"07.05.2018 13:57:26","0","28,5","851","851","4,64794","0"
"07.05.2018 13:57:52","0","30","283","283","8,780577","0"
"07.05.2018 13:58:18","0","29","851","851","10,13691","0"
"07.05.2018 13:58:44","0","28,5","283","283","10,76196","0"
"07.05.2018 13:59:10","0","32","851","851","4,654358","0"
"07.05.2018 13:59:36","0","25","851","851","7,696292","0"
"07.05.2018 14:00:03","0","28,5","851","851","4,698321","0"
"07.05.2018 14:00:29","0","31","283","283","5,700693","0"
"07.05.2018 14:00:55","0","24,5","851","851","8,945393","0"
"07.05.2018 14:01:21","0","24,5","851","851","6,899808","0"
"07.05.2018 14:01:47","0","25","283","283","8,027254","0"
"07.05.2018 14:02:13","0","28,5","851","851","7,464321","0"
"07.05.2018 14:02:39","0","32,5","283","283","24,84787","0"
"07.05.2018 14:03:05","0","28","851","851","7,69284","0"
"07.05.2018 14:03:31","0","28","283","283","4,804","0"
"07.05.2018 14:03:57","0","29,5","851","851","4,401426","0"
"07.05.2018 14:04:23","0","25","850","850","10,32997","0"
