"remoteudpport","minroundtrip","successrttcount","remoteip","answerreceived","averagertt","maxroundtrip"
"3478","24","5","13.107.8.2","True","44","67"
"3478","18","5","13.107.8.2","True","35","52"
"3478","19","5","13.107.8.2","True","25","39"
"3478","20","5","13.107.8.2","True","62","213"
"3478","18","5","13.107.8.2","True","25","35"
"3478","20","5","13.107.8.2","True","39","54"
"3478","19","5","13.107.8.2","True","23","29"
"3478","36","5","13.107.8.2","True","51","65"
"3478","19","5","13.107.8.2","True","26","37"
"3478","22","5","13.107.8.2","True","46","108"
"3478","19","5","13.107.8.2","True","39","79"
"3478","19","5","13.107.8.2","True","39","85"
"3478","20","5","13.107.8.2","True","26","37"
"3478","25","5","13.107.8.2","True","34","50"
"3478","18","5","13.107.8.2","True","29","49"
"3478","20","5","13.107.8.2","True","35","66"
"3478","18","5","13.107.8.2","True","27","36"
"3478","20","5","13.107.8.2","True","43","93"
"3478","18","5","13.107.8.2","True","35","74"
"3478","31","5","13.107.8.2","True","54","73"
"3478","20","5","13.107.8.2","True","78","285"
"3478","19","5","13.107.8.2","True","27","48"
"3478","26","5","13.107.8.2","True","57","165"
"3478","20","5","13.107.8.2","True","75","195"
"3478","23","5","13.107.8.2","True","47","102"
"3478","23","5","13.107.8.2","True","70","159"
"3478","26","5","13.107.8.2","True","41","61"
"3478","19","5","13.107.8.2","True","33","61"
"3478","21","5","13.107.8.2","True","49","86"
"3478","19","5","13.107.8.2","True","38","59"
"3478","21","5","13.107.8.2","True","36","77"
"3478","32","5","13.107.8.2","True","93","128"
"3478","19","5","13.107.8.2","True","46","76"
"3478","23","5","13.107.8.2","True","35","50"
"3478","19","5","13.107.8.2","True","28","58"
"3478","18","5","13.107.8.2","True","68","138"
"3478","19","5","13.107.8.2","True","28","42"
"3478","18","5","13.107.8.2","True","108","455"
"3478","20","5","13.107.8.2","True","93","309"
"3478","20","5","13.107.8.2","True","25","33"
"3478","26","5","13.107.8.2","True","64","140"
"3478","21","5","13.107.8.2","True","43","65"
"3478","28","5","13.107.8.2","True","48","68"
"3478","23","5","13.107.8.2","True","26","32"
"3478","18","5","13.107.8.2","True","29","35"
"3478","18","5","13.107.8.2","True","32","59"
"3478","24","5","13.107.8.2","True","58","127"
"3478","26","5","13.107.8.2","True","44","90"
"3478","19","5","13.107.8.2","True","41","80"
"3478","19","5","13.107.8.2","True","82","279"
"3478","18","5","13.107.8.2","True","36","105"
"3478","20","5","13.107.8.2","True","80","304"
"3478","42","5","13.107.8.2","True","68","114"
"3478","18","5","13.107.8.2","True","29","53"
"3478","19","5","13.107.8.2","True","68","247"
"3478","18","5","13.107.8.2","True","77","150"
"3478","22","5","13.107.8.2","True","26","29"
"3478","23","5","13.107.8.2","True","42","62"
"3478","23","5","13.107.8.2","True","72","234"
"3478","19","5","13.107.8.2","True","24","33"
"3478","18","5","13.107.8.2","True","27","50"
"3478","20","5","13.107.8.2","True","65","158"
"3478","19","5","13.107.8.2","True","40","73"
"3478","18","5","13.107.8.2","True","20","23"
"3478","19","5","13.107.8.2","True","41","74"
"3478","25","5","13.107.8.2","True","92","144"
"3478","22","5","13.107.8.2","True","28","37"
"3478","19","5","13.107.8.2","True","71","216"
"3478","21","5","13.107.8.2","True","27","39"
"3478","20","5","13.107.8.2","True","27","38"
"3478","23","5","13.107.8.2","True","29","39"
"3478","23","5","13.107.8.2","True","25","32"
"3478","36","5","13.107.8.2","True","58","112"
"3478","19","5","13.107.8.2","True","36","74"
"3478","23","5","13.107.8.2","True","27","35"
"3478","18","5","13.107.8.2","True","74","158"
"3478","19","5","13.107.8.2","True","26","38"
"3478","20","5","13.107.8.2","True","51","152"
"3478","20","5","13.107.8.2","True","75","266"
"3478","25","5","13.107.8.2","True","55","94"
"3478","24","5","13.107.8.2","True","28","43"
"3478","35","5","13.107.8.2","True","60","105"
"3478","20","5","13.107.8.2","True","70","140"
"3478","19","5","13.107.8.2","True","39","91"
"3478","23","5","13.107.8.2","True","34","47"
"3478","20","5","13.107.8.2","True","78","278"
"3478","20","5","13.107.8.2","True","37","79"
"3478","20","5","13.107.8.2","True","68","202"
"3478","18","5","13.107.8.2","True","28","43"
"3478","18","5","13.107.8.2","True","75","284"
"3478","20","5","13.107.8.2","True","24","29"
"3478","23","5","13.107.8.2","True","52","162"
"3478","18","5","13.107.8.2","True","33","47"
"3478","34","5","13.107.8.2","True","58","146"
"3478","26","5","13.107.8.2","True","61","87"
"3478","20","5","13.107.8.2","True","24","30"
"3478","21","5","13.107.8.2","True","23","27"
"3478","18","5","13.107.8.2","True","21","27"
"3478","19","5","13.107.8.2","True","22","28"
"3478","19","5","13.107.8.2","True","68","251"
"3478","25","5","13.107.8.2","True","35","45"
"3478","20","5","13.107.8.2","True","36","72"
"3478","19","5","13.107.8.2","True","32","59"
"3478","19","5","13.107.8.2","True","41","72"
"3478","18","5","13.107.8.2","True","27","40"
"3478","18","5","13.107.8.2","True","30","54"
"3478","20","5","13.107.8.2","True","53","120"
"3478","18","5","13.107.8.2","True","73","124"
"3478","18","5","13.107.8.2","True","33","59"
"3478","27","5","13.107.8.2","True","36","46"
"3478","21","5","13.107.8.2","True","51","125"
"3478","23","5","13.107.8.2","True","33","48"
"3478","21","5","13.107.8.2","True","69","222"
"3478","25","5","13.107.8.2","True","126","283"
"3478","18","5","13.107.8.2","True","31","65"
"3478","21","5","13.107.8.2","True","31","47"
"3478","19","5","13.107.8.2","True","26","44"
"3478","21","5","13.107.8.2","True","27","34"
"3478","21","5","13.107.8.2","True","63","111"
"3478","18","5","13.107.8.2","True","33","62"
"3478","18","5","13.107.8.2","True","36","93"
"3478","21","5","13.107.8.2","True","29","48"
"3478","18","5","13.107.8.2","True","33","65"
"3478","21","5","13.107.8.2","True","66","186"
"3478","19","5","13.107.8.2","True","22","27"
"3478","22","5","13.107.8.2","True","54","80"
"3478","19","5","13.107.8.2","True","75","284"
"3478","22","5","13.107.8.2","True","31","45"
"3478","21","5","13.107.8.2","True","62","190"
"3478","19","5","13.107.8.2","True","33","48"
"3478","21","5","13.107.8.2","True","45","92"
"3478","21","5","13.107.8.2","True","30","43"
"3478","21","5","13.107.8.2","True","28","37"
"3478","21","5","13.107.8.2","True","29","46"
"3478","23","5","13.107.8.2","True","48","130"
"3478","22","5","13.107.8.2","True","58","100"
"3478","18","5","13.107.8.2","True","32","49"
"3478","20","5","13.107.8.2","True","29","59"
"3478","20","5","13.107.8.2","True","30","50"
"3478","18","5","13.107.8.2","True","52","109"
"3478","20","5","13.107.8.2","True","27","34"
"3478","21","5","13.107.8.2","True","78","280"
"3478","20","5","13.107.8.2","True","42","100"
"3478","38","5","13.107.8.2","True","78","122"
"3478","26","5","13.107.8.2","True","43","76"
"3478","19","5","13.107.8.2","True","28","55"
"3478","19","5","13.107.8.2","True","35","89"
"3478","22","5","13.107.8.2","True","41","74"
"3478","19","5","13.107.8.2","True","50","134"
"3478","19","5","13.107.8.2","True","35","52"
"3478","19","5","13.107.8.2","True","72","222"
"3478","18","5","13.107.8.2","True","113","441"
"3478","19","5","13.107.8.2","True","41","119"
"3478","26","5","13.107.8.2","True","99","231"
"3478","18","5","13.107.8.2","True","103","257"
"3478","22","5","13.107.8.2","True","31","50"
"3478","21","5","13.107.8.2","True","55","171"
"3478","19","5","13.107.8.2","True","30","63"
"3478","21","5","13.107.8.2","True","40","103"
"3478","19","5","13.107.8.2","True","32","40"
"3478","43","5","13.107.8.2","True","67","160"
"3478","18","5","13.107.8.2","True","22","26"
"3478","20","5","13.107.8.2","True","63","206"
"3478","19","5","13.107.8.2","True","46","101"
"3478","18","5","13.107.8.2","True","24","33"
"3478","22","5","13.107.8.2","True","28","38"
"3478","23","5","13.107.8.2","True","41","55"
"3478","24","5","13.107.8.2","True","45","66"
"3478","22","5","13.107.8.2","True","95","298"
"3478","19","5","13.107.8.2","True","60","195"
"3478","18","5","13.107.8.2","True","36","94"
"3478","22","5","13.107.8.2","True","37","63"
"3478","23","5","13.107.8.2","True","45","77"
"3478","19","5","13.107.8.2","True","80","286"
"3478","18","5","13.107.8.2","True","59","99"
"3478","19","5","13.107.8.2","True","52","109"
"3478","18","5","13.107.8.2","True","21","24"
"3478","21","5","13.107.8.2","True","111","280"
"3478","19","5","13.107.8.2","True","22","25"
