"remoteudpport","minroundtrip","successrttcount","remoteip","answerreceived","averagertt","maxroundtrip"
"3478","19","5","13.107.8.2","True","23","30"
"3478","21","5","13.107.8.2","True","22","23"
"3478","20","5","13.107.8.2","True","21","22"
"3478","20","5","13.107.8.2","True","23","26"
"3478","23","5","13.107.8.2","True","27","33"
"3478","20","5","13.107.8.2","True","25","30"
"3478","22","5","13.107.8.2","True","24","27"
"3478","21","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","21","22"
"3478","20","5","13.107.8.2","True","21","22"
"3478","20","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","35","75"
"3478","20","5","13.107.8.2","True","20","20"
"3478","21","5","13.107.8.2","True","23","24"
"3478","20","5","13.107.8.2","True","30","67"
"3478","21","5","13.107.8.2","True","22","23"
"3478","20","5","13.107.8.2","True","24","30"
"3478","20","5","13.107.8.2","True","22","23"
"3478","21","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","21","22"
"3478","19","5","13.107.8.2","True","22","25"
"3478","20","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","22","24"
"3478","19","5","13.107.8.2","True","21","23"
"3478","20","5","13.107.8.2","True","26","44"
"3478","20","5","13.107.8.2","True","21","22"
"3478","20","5","13.107.8.2","True","26","46"
"3478","24","5","13.107.8.2","True","32","57"
"3478","20","5","13.107.8.2","True","22","24"
"3478","51","5","13.107.8.2","True","55","57"
"3478","22","5","13.107.8.2","True","31","57"
"3478","20","5","13.107.8.2","True","21","22"
"3478","20","5","13.107.8.2","True","22","23"
"3478","20","5","13.107.8.2","True","22","23"
"3478","21","5","13.107.8.2","True","22","25"
"3478","24","5","13.107.8.2","True","27","32"
"3478","20","5","13.107.8.2","True","23","26"
"3478","19","5","13.107.8.2","True","66","238"
"3478","20","5","13.107.8.2","True","22","25"
"3478","20","5","13.107.8.2","True","22","23"
"3478","21","5","13.107.8.2","True","23","26"
"3478","20","5","13.107.8.2","True","21","22"
"3478","20","5","13.107.8.2","True","25","38"
"3478","19","5","13.107.8.2","True","30","50"
"3478","22","5","13.107.8.2","True","26","34"
"3478","20","5","13.107.8.2","True","23","27"
"3478","21","5","13.107.8.2","True","25","37"
"3478","19","5","13.107.8.2","True","50","163"
"3478","31","5","13.107.8.2","True","33","35"
"3478","20","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","24","31"
"3478","20","5","13.107.8.2","True","33","41"
